tag,world x (m),world y (m),world z (m),roll (degrees),pitch (degrees),yaw (degrees)
0,0,0,1.0575,0,0,0
1,0,-1.145,1.0575,0,0,0
2,0,1.15,1.0575,0,0,0
3,0.88,-0.85,1.059,0,0,0
4,0.88,0,1.059,0,0,0
5,0.88,0.86,1.059,0,0,0
6,-0.795,0.85,1.059,0,0,0
7,-0.795,0,1.059,0,0,0
8,-0.795,-0.865,1.059,0,0,0
9,-1.945,-1.14,1.0625,0,0,0
10,-1.945,0,1.0625,0,0,0
11,-1.945,1.1425,1.0625,0,0,0
12,1.75,-1.145,1.0625,0,0,0
13,1.75,0,1.0625,0,0,0
14,1.75,1.14,1.0625,0,0,0
15,2.15,-1.165,0.122,0,90,0
16,2.15,-1.17,0.777,0,90,0
17,2.15,-0.0925,0.117,0,90,0
18,2.15,-0.095,0.7495,0,90,0
19,2.15,1.09,0.114,0,90,0
20,2.15,1.09,0.789,0,90,0
21,1.874,-1.42,0.109,90,0,0
22,0.879,-1.42,0.109,90,0,0
23,0.204,-1.42,0.106,90,0,0
24,-0.384,-1.42,0.11,90,0,0
25,-1.064,-1.42,0.106,90,0,0
26,-1.934,-1.42,0.094,90,0,0
27,1.284,-1.42,0.579,90,0,0
28,-0.444,-1.42,0.594,90,0,0
29,-1.634,-1.42,0.624,90,0,0
30,-2.31,-1.02,0.1115,0,-90,0
31,-2.31,-1.02,0.6765,0,-90,0
32,-2.31,-0.045,0.1115,0,-90,0
33,-2.31,-0.05,0.6765,0,-90,0
34,-2.31,1.155,0.1115,0,-90,0
35,-2.31,1.155,0.6765,0,-90,0
36,0.445,1.52,0.129,-90,0,0
37,0.9675,1.52,0.4465,-90,0,0
38,1.52,1.52,0.129,-90,0,0
39,-1.815,1.52,0.114,-90,0,0
40,-1.265,1.52,0.4315,-90,0,0
41,-0.745,1.52,0.114,-90,0,0
